year,id,away_team_api_id,match_api_id,stage,season,home_away,defenceDefenderLineClass_opponent,score,opponent_team
2013,11961,8600,1287243,28,2012/2013,away,Cover,0,Udinese
2013,11973,10167,1287255,29,2012/2013,home,NA,2,Parma
2012,11982,9857,1286994,3,2012/2013,home,Cover,-1,Bologna
2013,11992,8540,1287264,30,2012/2013,away,Cover,-2,Palermo
2013,11999,8543,1287271,31,2012/2013,home,Cover,0,Lazio
2013,12011,9804,1287283,32,2012/2013,away,Cover,1,Torino
2013,12022,9878,1287294,33,2012/2013,home,NA,0,Pescara
2013,12033,8551,1287305,34,2012/2013,home,Offside Trap,4,Siena
2013,12041,8535,1287313,35,2012/2013,away,NA,1,Fiorentina
2013,12046,8533,1287318,36,2012/2013,home,NA,-1,Chievo Verona
2013,12061,8564,1287333,37,2012/2013,away,NA,0,Milan
2013,12072,9875,1287344,38,2012/2013,home,NA,1,Napoli
2012,12077,8529,1286999,4,2012/2013,away,NA,3,Cagliari
2012,12092,9882,1287014,5,2012/2013,home,Cover,0,Sampdoria
2012,12099,9885,1287021,6,2012/2013,away,Cover,-3,Juventus
2012,12112,8524,1287034,7,2012/2013,home,Cover,2,Atalanta
2012,12118,10233,1287040,8,2012/2013,away,NA,2,Genoa
2012,12131,8600,1287053,9,2012/2013,home,NA,-1,Udinese
2013,12140,8537,1536519,1,2013/2014,away,Offside Trap,2,Livorno
2013,12153,8533,1536618,10,2013/2014,home,Cover,1,Chievo Verona
2013,12163,9804,1536628,11,2013/2014,away,NA,0,Torino
2013,12174,7943,1536639,12,2013/2014,home,NA,0,Sassuolo
2013,12180,8529,1536645,13,2013/2014,home,Cover,0,Cagliari
2013,12185,8524,1536650,14,2013/2014,away,Cover,0,Atalanta
2013,12201,8535,1536666,15,2013/2014,home,Cover,1,Fiorentina
2013,12211,8564,1536676,16,2013/2014,away,NA,0,Milan
2013,12221,8530,1536686,17,2013/2014,home,NA,4,Catania
2014,12229,9885,1536694,18,2013/2014,away,NA,-3,Juventus
2014,12241,10233,1536706,19,2013/2014,home,Cover,4,Genoa
2013,12252,9876,1536537,2,2013/2014,home,NA,3,Hellas Verona
2014,12260,8537,1536715,20,2013/2014,home,Cover,3,Livorno
2014,12272,9876,1536727,21,2013/2014,away,Cover,2,Hellas Verona
2014,12281,10167,1536736,22,2013/2014,home,Offside Trap,2,Parma
2014,12293,8543,1536748,23,2013/2014,away,Cover,0,Lazio
2014,12302,9882,1536757,24,2013/2014,home,NA,3,Sampdoria
2014,12312,9857,1536767,25,2013/2014,away,Cover,1,Bologna
2014,12318,8636,1536773,26,2013/2014,home,Cover,0,Inter
2014,12332,9875,1536787,27,2013/2014,away,Cover,-1,Napoli
2014,12344,8600,1536799,28,2013/2014,home,Cover,1,Udinese
2014,12353,8533,1536808,29,2013/2014,away,Cover,2,Chievo Verona
2013,12361,10167,1536546,3,2013/2014,away,Cover,2,Parma
2014,12373,9804,1536818,30,2013/2014,home,Cover,1,Torino
